,Date,Low,High,Close,Open
3215,2010-10-21,10.55,11.04,10.75,10.94
3214,2014-06-18,41.57,42.82,42.66,41.93
3213,2018-01-03,52.055,52.86,52.34,52.86
3212,2014-08-15,38.79,40.0799,39.19,39.98
3211,2009-06-29,2.24,2.36,2.26,2.36
3210,2014-11-25,43.1,44.44,44.15,43.18
3209,2016-08-05,33.68,34.72,34.44,33.71
3208,2015-01-29,50.57,52.42,52.24,51.045
3207,2006-08-07,42.89,44.11,43.07,43.08
3206,2011-12-15,5.59,5.77,5.71,5.64
3205,2013-12-05,21.45,22.62,22.35,22.27
3204,2008-04-07,9.27,9.72,9.62,9.57
3203,2006-06-27,46.84,49.5,48.04,49.5
3202,2010-08-30,8.86,9.53,8.87,9.23
3201,2011-09-08,5.11,5.3,5.14,5.17
3200,2009-09-30,4.65,4.95,4.7,4.92
3199,2012-01-23,6.2,6.49,6.26,6.43
3198,2017-06-12,48.1,50.22,49.48,50.1
3197,2016-01-19,38.21,39.78,38.86,39.59
3196,2011-01-11,10.77,11.44,10.97,11.37
3195,2007-08-06,29.21,31.58,30.0,31.38
3194,2006-12-19,54.0,58.09,57.5,54.56
3193,2007-03-06,50.07,51.09,50.23,50.35
3192,2016-10-31,40.08,40.81,40.6,40.31
3191,2015-06-05,41.71,42.58,41.72,42.13
3190,2009-10-13,4.38,4.54,4.44,4.48
3189,2017-12-18,51.25,51.66,51.49,51.25
3188,2012-06-28,12.78,13.44,13.4,13.13
3187,2012-08-30,10.1,10.47,10.4,10.41
3186,2007-07-02,30.38,31.0,30.7,30.68
3185,2010-01-25,5.15,5.5,5.22,5.34
3184,2012-08-21,10.63,11.5,11.42,10.63
3183,2016-06-03,30.37,31.6,30.81,31.59
3182,2016-01-14,38.86,40.78,40.55,40.21
3181,2013-04-08,15.53,15.97,15.84,15.82
3180,2009-01-12,8.27,9.16,8.54,9.15
3179,2012-11-14,11.99,12.9,12.01,12.65
3178,2013-06-27,16.0,16.34,16.31,16.29
3177,2013-09-12,17.55,17.95,17.63,17.69
3176,2017-03-23,40.48,41.86,41.41,40.7
3175,2015-06-19,40.3,41.89,41.56,40.3
3174,2008-07-31,4.9,5.38,5.06,5.0
3173,2014-02-07,34.65,35.7,35.67,34.81
3172,2017-08-10,48.19,49.34,48.55,49.03
3171,2011-01-19,9.94,10.61,10.03,10.21
3170,2012-12-03,12.62,12.92,12.66,12.92
3169,2015-02-13,46.65,48.4,48.39,47.53
3168,2006-01-27,28.3,30.2,28.89,30.2
3167,2012-04-11,7.54,7.78,7.62,7.58
3166,2015-09-30,37.72,39.68,38.83,39.18
3165,2011-10-11,5.28,5.93,5.84,5.29
3164,2006-11-07,49.93,51.25,50.61,50.16
3163,2017-11-27,48.3,48.8336,48.42,48.61
3162,2015-11-20,42.05,42.71,42.2,42.4
3161,2012-07-31,11.16,11.63,11.46,11.31
3160,2010-04-21,6.61,7.18,6.76,7.13
3159,2016-12-15,48.1,49.95,48.3,48.1
3158,2012-11-27,12.4,12.92,12.72,12.54
3157,2016-12-13,47.71,48.49,47.84,47.94
3156,2014-12-05,50.01,51.75,51.01,50.09
3155,2018-03-16,55.27,56.41,55.4,55.31
3154,2013-03-22,16.77,17.29,16.86,17.1
