"MacroTrends Data Download"
"AAL - Historical Price and Volume Data"
"Historical prices are adjusted for both splits and dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
2005-09-27,20.3155,20.6533,18.4336,18.6266,961200
2005-09-28,18.6294,19.8167,18.5329,19.7877,5747900
2005-09-29,19.6905,19.8643,19.4010,19.5071,1078200
2005-09-30,19.5572,20.3198,19.4800,20.2812,3123300
2005-10-03,20.1761,20.9967,20.1761,20.7554,1057900
2005-10-04,20.6895,21.7124,20.6895,21.3843,1768800
2005-10-05,21.3265,21.5292,20.9888,21.4230,904300
2005-10-06,21.8100,22.1960,21.6170,21.7907,1614200
2005-10-07,21.4711,21.8089,21.0369,21.3746,753400
2005-10-10,21.5002,21.5099,21.3265,21.4327,538700
2005-10-11,21.4803,21.5189,21.0364,21.2101,764600
2005-10-12,21.1324,21.2771,20.8815,20.9973,912900
2005-10-13,20.9489,21.0454,20.6593,20.9586,531300
2005-10-14,21.0854,21.6162,21.0854,21.4907,887800
2005-10-17,21.3744,21.4420,21.0850,21.3069,464000
2005-10-18,21.2959,21.5276,20.6105,20.7457,1815500
2005-10-19,20.6296,20.8516,20.1276,20.6392,1466000
2005-10-20,20.6095,20.7349,20.1268,20.2909,640900
2005-10-21,20.2837,21.6347,20.2741,21.1908,917000
2005-10-24,21.2399,21.5777,21.1820,21.5294,508800
2005-10-25,21.4707,21.7506,20.9400,21.2295,437300
2005-10-26,21.2303,21.6646,21.2207,21.5391,543200
2005-10-27,21.4818,21.7714,21.4239,21.7714,351200
2005-10-28,21.7650,23.0680,21.5912,23.0680,1614900
2005-10-31,23.1663,24.4694,23.1663,23.8227,706400
2005-11-01,23.8428,24.2096,23.8331,24.1517,866800
2005-11-02,24.3509,27.1209,24.3220,26.5901,2870200
2005-11-03,26.6391,27.1217,26.6391,26.8997,906100
2005-11-04,26.8343,27.9927,26.8054,27.7996,912600
2005-11-07,27.9930,28.4080,27.3945,27.9254,486900
2005-11-08,28.0906,28.6698,27.9941,28.4092,1395000
2005-11-09,28.4041,30.2090,28.4041,30.2090,1312300
2005-11-10,30.0677,32.7801,30.0677,31.6604,1948900
2005-11-11,31.9030,32.7718,31.8547,32.1926,1183900
2005-11-14,32.3287,33.2937,32.2804,32.5699,1059200
2005-11-15,32.5703,32.6957,31.6921,32.6957,759200
2005-11-16,32.3476,32.6758,32.2414,32.4345,542600
2005-11-17,32.2336,33.3435,32.0695,33.1215,1011900
2005-11-18,33.1571,33.1571,31.7189,31.9023,529800
2005-11-21,31.6102,31.6102,30.1720,30.8766,636300
2005-11-22,30.8778,31.6018,30.5014,31.3701,421900
2005-11-23,31.0818,32.5104,31.0432,31.8926,671300
2005-11-25,31.8632,32.0466,31.5833,31.7088,138500
2005-11-28,31.9031,32.6754,31.8549,32.2506,630400
2005-11-29,32.1433,32.3363,31.4965,31.7571,428600
2005-11-30,31.7587,32.6275,31.7587,32.4248,690100
2005-12-01,32.8126,33.7197,32.8126,33.0828,371800
2005-12-02,33.1986,33.4399,33.0538,33.0828,428600
2005-12-05,30.9643,31.5049,30.2887,31.2250,1124400
2005-12-06,30.9194,32.5696,30.9194,32.4442,790600
2005-12-07,32.2327,32.9854,32.1362,32.7635,783900
2005-12-08,32.7627,32.7917,32.3574,32.4829,383700
2005-12-09,32.2422,32.8791,32.1843,32.6957,409700
2005-12-12,32.6182,32.7244,32.5314,32.5796,421500
2005-12-13,32.5881,32.6267,31.9028,32.0958,226700
2005-12-14,32.2413,32.5212,32.0965,32.3764,158400
2005-12-15,32.4635,32.6951,32.1836,32.4538,313900
2005-12-16,32.5059,34.2624,32.5059,33.9246,1646900
2005-12-19,33.9538,34.2144,33.6739,34.0214,377400
2005-12-20,34.0215,34.2242,32.8344,34.0891,564500
2005-12-21,34.1499,35.7135,34.1016,35.2406,701200
2005-12-22,35.3282,35.7626,35.0869,35.5502,247800
2005-12-23,35.4463,36.6719,35.4463,36.4114,493000
2005-12-27,36.6714,37.4533,35.9088,36.1598,476400
2005-12-28,36.6810,36.8258,35.0883,36.1501,327800
2005-12-29,36.1500,36.6326,35.8990,36.0824,189800
2005-12-30,36.2459,36.2749,35.6378,35.8502,172800
2006-01-03,35.9088,36.9513,35.5709,36.1501,1013200
2006-01-04,36.3861,39.1850,36.3861,37.8338,1928400
2006-01-05,37.8157,38.3273,37.5551,38.3273,317900
2006-01-06,38.3255,38.3255,36.8102,37.6403,349200
2006-01-09,37.4463,37.5235,37.1567,37.2629,220800
2006-01-10,37.2608,37.3573,36.0931,36.4791,191300
2006-01-11,36.4813,36.4813,33.4412,33.5859,974300
2006-01-12,31.8492,34.1172,31.8106,33.7698,2008900
2006-01-13,33.7770,34.1824,32.1461,32.8602,734200
2006-01-17,32.3769,32.3769,28.5843,28.9511,2351200
2006-01-18,28.0850,30.0731,27.8726,29.9187,1773700
2006-01-19,29.7241,30.1487,28.3151,29.3284,857200
2006-01-20,29.2293,29.2293,27.6076,28.2253,788700
2006-01-23,28.4671,29.0077,28.1389,28.3995,530800
2006-01-24,28.8571,30.3723,28.7123,29.9380,648900
2006-01-25,30.0634,30.4109,29.6774,29.9187,836300
2006-01-26,29.9650,30.1580,28.9517,29.1930,313700
2006-01-27,29.1512,29.1512,27.3172,27.8867,518600
2006-01-30,27.7325,28.5530,27.7325,27.9931,917300
2006-01-31,28.1580,29.3550,28.0036,28.3221,490600
2006-02-01,28.0905,28.5925,27.3665,28.3608,816800
2006-02-02,28.3528,29.1441,27.9861,28.9607,767200
2006-02-03,28.9694,28.9694,28.1874,28.5253,397600
2006-02-06,28.1868,28.6695,27.6655,28.2544,550900
2006-02-07,28.3310,28.4275,27.6263,27.9931,489800
2006-02-08,28.0825,29.6845,27.9957,28.9414,869700
2006-02-09,28.9037,29.4152,28.5177,29.2897,443400
2006-02-10,29.4336,29.4336,28.7002,28.9511,403700
2006-02-13,29.9674,30.9807,29.4848,30.0832,826000
2006-02-14,30.4056,31.7569,30.3187,31.6604,668600
2006-02-15,31.4119,33.0042,31.2189,32.5699,807800
2006-02-16,32.4919,32.7236,32.0478,32.2216,244400
2006-02-17,31.6612,32.2307,31.2075,31.9991,316000
2006-02-21,31.3701,32.4801,30.2118,31.3701,772700
2006-02-22,32.3574,33.1004,32.1354,32.4635,637200
2006-02-23,33.0065,33.7979,32.8810,33.4408,926300
2006-02-24,32.7915,32.8011,32.0289,32.3571,654000
2006-02-27,32.7235,32.8876,31.9513,32.1926,538500
2006-02-28,32.1437,32.2885,31.4680,31.9410,408200
2006-03-01,31.9403,32.8766,31.4673,31.6604,1149500
2006-03-02,31.6606,32.0467,31.4676,31.7571,388600
2006-03-03,31.5133,31.5327,30.2297,30.7605,895800
2006-03-06,30.7893,30.8858,30.2874,30.7024,681300
2006-03-07,30.9838,31.6595,30.8873,31.2830,816900
2006-03-08,31.2854,32.7141,30.9862,32.2990,691900
2006-03-09,32.2397,32.2493,31.4675,31.7088,275900
2006-03-10,31.8062,32.3661,31.7869,32.1055,1123800
2006-03-13,32.0953,32.5297,31.6417,31.9023,498300
2006-03-14,31.9435,33.3429,31.9435,32.9086,538900
2006-03-15,33.0847,34.2622,33.0075,33.8472,1084100
2006-03-16,33.9729,34.1177,33.5869,33.9440,595300
2006-03-17,33.9253,34.1955,33.6357,34.1955,426900
2006-03-20,34.2184,36.1296,34.1991,35.6663,990300
2006-03-21,36.6316,37.7127,35.3575,35.6953,1532000
2006-03-22,35.7789,38.5972,35.7789,38.2208,2143500
2006-03-23,38.2293,38.5092,37.1773,37.7467,2010800
2006-03-24,37.8325,38.1221,37.2149,37.3596,848400
2006-03-27,37.7372,38.3838,37.7082,37.8047,1208300
2006-03-28,37.8204,37.8397,36.1311,36.2662,1310200
2006-03-29,36.2569,36.6236,35.4270,36.3920,838400
2006-03-30,36.6329,36.8935,35.9089,36.1888,647600
2006-03-31,36.3879,38.6272,36.2914,38.6079,2145500
2006-04-03,38.6069,38.6069,37.8734,38.2208,1034600
2006-04-04,38.6066,39.1857,37.9310,38.1047,891800
2006-04-05,38.1240,38.3460,37.6125,38.1047,467300
2006-04-06,38.2221,38.9267,37.7395,38.7530,1680000
2006-04-07,38.8966,39.3309,38.0762,38.2692,1383600
2006-04-10,38.2648,38.2648,36.0451,36.5952,1275800
2006-04-11,36.6329,36.9707,35.7159,36.1985,1184400
2006-04-12,36.1985,36.6522,35.4842,36.1985,1097200
2006-04-13,36.1338,37.7648,36.0758,37.2822,1330900
2006-04-17,37.0658,37.2589,35.2608,35.6179,2194600
2006-04-18,35.8113,36.2940,35.5604,35.7631,1791500
2006-04-19,35.9982,38.0731,35.9017,37.0984,2086800
2006-04-20,37.2999,38.2553,36.5761,36.6726,1155400
2006-04-21,36.9325,36.9325,34.9252,36.4114,1826900
2006-04-24,37.8792,40.8227,37.6765,40.4367,3134300
2006-04-25,40.5352,42.3690,39.5701,41.2398,2257700
2006-04-26,40.9219,41.7519,40.1209,41.4914,1115700
2006-04-27,41.4945,43.1450,41.0795,42.7589,1366700
2006-04-28,42.7564,42.8336,41.3086,41.7526,1167500
2006-05-01,41.6861,42.4679,41.6861,42.1590,996100
2006-05-02,43.5337,45.2712,43.4372,43.8233,1990600
2006-05-03,44.5916,46.6957,44.1766,46.1359,2106000
2006-05-04,46.7156,47.4878,46.0883,46.3778,2102800
2006-05-05,46.3791,47.1416,46.2729,46.9003,654300
2006-05-08,47.3894,48.0650,44.8607,45.6521,1375200
2006-05-09,46.5699,50.3148,46.3769,49.8322,3223200
2006-05-10,49.9249,50.3592,47.6279,48.3518,1688700
2006-05-11,47.5387,48.1564,46.3321,47.4132,1129900
2006-05-12,47.0534,48.2309,46.1364,46.3488,648500
2006-05-15,47.1445,48.2061,47.0384,48.0131,1214000
2006-05-16,47.7769,47.8734,45.8754,46.1843,755300
2006-05-17,45.8435,45.8917,44.1931,45.0038,1055800
2006-05-18,45.1203,45.8828,45.0238,45.2651,848500
2006-05-19,45.7489,46.7912,45.2180,45.7489,1612000
2006-05-22,45.7479,45.8444,44.1650,45.3618,1437800
2006-05-23,45.4252,45.6086,43.5236,43.6201,1062500
2006-05-24,43.7230,43.7809,41.2714,42.2945,1736000
2006-05-25,42.7097,43.2213,41.8893,42.3719,656800
2006-05-26,42.8027,45.0707,42.8027,44.7522,1798300
2006-05-30,44.4006,44.5164,42.3253,43.0589,1009700
2006-05-31,43.4308,45.6506,43.4308,45.0715,1833800
2006-06-01,44.0860,45.2152,43.9605,44.6361,2097300
2006-06-02,44.6447,45.1755,43.6700,44.2491,1219200
2006-06-05,43.8696,44.9700,42.5666,43.0299,1258000
2006-06-06,43.4491,44.6748,42.9955,44.6651,1433400
2006-06-07,44.8790,45.9696,44.4350,45.2554,1748100
2006-06-08,45.3623,45.6518,44.0111,45.5360,2039800
2006-06-09,45.5375,47.3907,45.5375,46.1553,832800
2006-06-12,45.9440,45.9440,41.9866,42.7106,2493500
2006-06-13,42.6071,42.9642,39.5672,40.0980,4141900
2006-06-14,40.3416,42.6289,39.8494,41.0076,2547400
2006-06-15,41.4103,44.3641,41.4103,43.9007,1525900
2006-06-16,43.9097,46.0429,43.5333,43.6298,1732000
2006-06-19,43.9611,45.1192,43.9611,44.8490,1206900
2006-06-20,45.0252,46.0386,44.9769,45.8166,982700
2006-06-21,45.8008,47.4900,45.3664,47.2390,1705900
2006-06-22,46.4684,47.8292,46.3236,47.8002,1293800
2006-06-23,47.6776,49.0963,47.3687,48.9033,1683200
2006-06-26,48.8621,48.8621,47.4917,47.9067,762000
2006-06-27,47.7773,47.7773,45.2099,46.3681,1111100
2006-06-28,46.6655,47.1288,45.1309,45.6521,779000
2006-06-29,46.1367,46.9088,45.2969,46.4359,1349100
2006-06-30,46.7121,49.1250,45.9690,48.7775,2847100
2006-07-03,48.8681,50.4221,48.5882,50.2870,994500
2006-07-05,50.0878,52.1145,49.7018,51.6320,2451400
2006-07-06,51.6372,53.7123,51.3573,53.7027,3365900
2006-07-07,53.0829,54.1446,52.2239,52.8996,1315500
2006-07-10,53.0855,54.4464,52.8924,53.9059,1408600
